  #timestep,                   time,        internal_energy,         kinetic_energy,           beam_contact,         beam_potential,            total_energy
        125,   1.25000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821615e-02,   0.00000000000000e+00,    2.44226626455781e+01
        126,   1.26000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455781e+01
        127,   1.27000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821615e-02,   0.00000000000000e+00,    2.44226626455781e+01
        128,   1.28000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455781e+01
        129,   1.29000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821705e-02,   0.00000000000000e+00,    2.44226626455781e+01
        130,   1.30000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455781e+01
        131,   1.31000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455781e+01
        132,   1.32000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455781e+01
        133,   1.33000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455781e+01
        134,   1.34000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821705e-02,   0.00000000000000e+00,    2.44226626455781e+01
        135,   1.35000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821705e-02,   0.00000000000000e+00,    2.44226626455781e+01
        136,   1.36000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821615e-02,   0.00000000000000e+00,    2.44226626455781e+01
        137,   1.37000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455781e+01
        138,   1.38000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821705e-02,   0.00000000000000e+00,    2.44226626455781e+01
