  #timestep,                   time,        internal_energy,         kinetic_energy,            total_energy
        170,   1.70000000000000e+00,   2.88675165531895e-02,   7.82994191130430e-02,    1.07166935666233e-01
        172,   1.72000000000000e+00,   2.91559111427469e-02,   7.80114242675513e-02,    1.07167335410298e-01
        174,   1.74000000000000e+00,   3.08029099771796e-02,   7.63678420533827e-02,    1.07170752030562e-01
        176,   1.76000000000000e+00,   3.34020170191988e-02,   7.37736116962023e-02,    1.07175628715401e-01
        178,   1.78000000000000e+00,   3.64579480385715e-02,   7.07226126643914e-02,    1.07180560702963e-01
        180,   1.80000000000000e+00,   3.94839154057650e-02,   6.77007306448345e-02,    1.07184646050600e-01
        182,   1.82000000000000e+00,   4.20821754165189e-02,   6.51053275002263e-02,    1.07187502916745e-01
        184,   1.84000000000000e+00,   4.39918090166784e-02,   6.31974922733755e-02,    1.07189301290054e-01
        186,   1.86000000000000e+00,   4.51054622693090e-02,   6.20848618637186e-02,    1.07190324133028e-01
        188,   1.88000000000000e+00,   4.54589490140727e-02,   6.17318734385126e-02,    1.07190822452585e-01
        190,   1.90000000000000e+00,   4.51984045205718e-02,   6.19926394661981e-02,    1.07191043986770e-01
        192,   1.92000000000000e+00,   4.45308583374757e-02,   6.26603000375682e-02,    1.07191158375044e-01
        194,   1.94000000000000e+00,   4.36666673359074e-02,   6.35246111536155e-02,    1.07191278489523e-01
        196,   1.96000000000000e+00,   4.27663033826532e-02,   6.44252493393098e-02,    1.07191552721963e-01
        198,   1.98000000000000e+00,   4.19027464841026e-02,   6.52892147992892e-02,    1.07191961283392e-01
        200,   2.00000000000000e+00,   4.10454487174764e-02,   6.61469328268629e-02,    1.07192381544339e-01
