  #timestep,                   time,        internal_energy,         kinetic_energy,           beam_contact,         beam_potential,            total_energy
         18,   1.80000000000000e-03,   1.32435344116034e-03,   3.46735711631157e-03,   4.51014831934226e-06,  -1.51860375687834e-01,   -1.47064154982043e-01
         19,   1.90000000000000e-03,   1.44989729099197e-03,   3.73192219675315e-03,   1.45217151110638e-04,  -1.52410481928986e-01,   -1.47083445290130e-01
         20,   2.00000000000000e-03,   1.58818564118713e-03,   4.34382717847558e-03,   0.00000000000000e+00,  -1.52830000877232e-01,   -1.46897988057569e-01
         21,   2.10000000000000e-03,   1.73783607825624e-03,   4.61800737996139e-03,   0.00000000000000e+00,  -1.53240026376362e-01,   -1.46884182918144e-01
         22,   2.20000000000000e-03,   1.87099627461859e-03,   5.01905970050790e-03,   0.00000000000000e+00,  -1.53769793889442e-01,   -1.46879737914315e-01
         23,   2.30000000000000e-03,   2.00039055649365e-03,   5.56024567398359e-03,   0.00000000000000e+00,  -1.54437650639639e-01,   -1.46877014409161e-01
         24,   2.40000000000000e-03,   2.14871642301082e-03,   6.24272739783691e-03,   0.00000000000000e+00,  -1.55263541011693e-01,   -1.46872097190846e-01
         25,   2.50000000000000e-03,   2.32252538643184e-03,   6.48703886271795e-03,   2.33118700940438e-04,  -1.56063468566008e-01,   -1.47020785615918e-01
         26,   2.60000000000000e-03,   2.52167599242160e-03,   7.34944668304473e-03,   0.00000000000000e+00,  -1.56622620809257e-01,   -1.46751498133790e-01
         27,   2.70000000000000e-03,   2.75527859704082e-03,   7.64295171599449e-03,   0.00000000000000e+00,  -1.57133895723441e-01,   -1.46735665410406e-01
         28,   2.80000000000000e-03,   2.99801117762141e-03,   8.10381976949990e-03,   0.00000000000000e+00,  -1.57830880989497e-01,   -1.46729050042376e-01
         29,   2.90000000000000e-03,   3.21908512876379e-03,   8.80764884369949e-03,   0.00000000000000e+00,  -1.58745480079964e-01,   -1.46718746107501e-01
         30,   3.00000000000000e-03,   3.43941265958641e-03,   9.77268560246519e-03,   0.00000000000000e+00,  -1.59912826613820e-01,   -1.46700728351768e-01
         31,   3.10000000000000e-03,   3.69724505964699e-03,   1.00277456662065e-02,   3.35212987409450e-04,  -1.61045733030319e-01,   -1.46985529317056e-01
         32,   3.20000000000000e-03,   3.99953638430749e-03,   1.11794360026313e-02,   0.00000000000000e+00,  -1.61798018383929e-01,   -1.46619045996990e-01
         33,   3.30000000000000e-03,   4.34533661853575e-03,   1.15643353425268e-02,   0.00000000000000e+00,  -1.62491490542311e-01,   -1.46581818581249e-01
         34,   3.40000000000000e-03,   4.68020190580035e-03,   1.22517644589423e-02,   0.00000000000000e+00,  -1.63488980354475e-01,   -1.46557013989733e-01
         35,   3.50000000000000e-03,   4.96310452588237e-03,   1.33338336102577e-02,   0.00000000000000e+00,  -1.64831403277758e-01,   -1.46534465141618e-01
         36,   3.60000000000000e-03,   5.21272814776854e-03,   1.45896523113039e-02,   4.30633931998017e-05,  -1.66518342598755e-01,   -1.46672898746483e-01
         37,   3.70000000000000e-03,   5.48472106163746e-03,   1.51372016338424e-02,   6.84706562531260e-04,  -1.68037971297667e-01,   -1.46731342039656e-01
         38,   3.80000000000000e-03,   5.82345469590331e-03,   1.71020427319487e-02,   0.00000000000000e+00,  -1.68921499904294e-01,   -1.45996002476442e-01
         39,   3.90000000000000e-03,   6.24147865786715e-03,   1.75950755526711e-02,   0.00000000000000e+00,  -1.69765255341332e-01,   -1.45928701130794e-01
         40,   4.00000000000000e-03,   6.60929624549188e-03,   1.86050339833614e-02,   0.00000000000000e+00,  -1.71114017793304e-01,   -1.45899687564451e-01
