  #timestep,                   time,        internal_energy,         kinetic_energy,            total_energy
         52,   5.20000000000000e-01,   2.88930298015804e-02,   2.93313301776972e-02,    5.82243599792776e-02
         53,   5.30000000000000e-01,   3.10034790956302e-02,   3.03002801627753e-02,    6.13037592584055e-02
         54,   5.40000000000000e-01,   3.31737346668509e-02,   3.11488714287284e-02,    6.43226060955793e-02
         55,   5.50000000000000e-01,   3.53920159398275e-02,   3.18780925058068e-02,    6.72701084456343e-02
         56,   5.60000000000000e-01,   3.76459760739437e-02,   3.24911564457905e-02,    7.01371325197342e-02
         57,   5.70000000000000e-01,   3.99228748509677e-02,   3.29925373484582e-02,    7.29154121994259e-02
         58,   5.80000000000000e-01,   4.22098242621056e-02,   3.33883875134565e-02,    7.55982117755622e-02
         59,   5.90000000000000e-01,   4.44940079010129e-02,   3.36857007977738e-02,    7.81797086987867e-02
         60,   6.00000000000000e-01,   4.67627697703514e-02,   3.38926245994208e-02,    8.06553943697722e-02
         61,   6.10000000000000e-01,   4.90036913873321e-02,   3.40178913618026e-02,    8.30215827491347e-02
         62,   6.20000000000000e-01,   5.12046831905686e-02,   3.40710048956524e-02,    8.52756880862210e-02
         63,   6.30000000000000e-01,   5.33540156008573e-02,   3.40618573493316e-02,    8.74158729501889e-02
         64,   6.40000000000000e-01,   5.54403878251614e-02,   3.40009181820745e-02,    8.94413060072359e-02
         65,   6.50000000000000e-01,   5.74529733497437e-02,   3.38989127019841e-02,    9.13518860517278e-02
         66,   6.60000000000000e-01,   5.93813109886101e-02,   3.37669138793015e-02,    9.31482248679115e-02
         67,   6.70000000000000e-01,   6.12152368532392e-02,   3.36160607423230e-02,    9.48312975955623e-02
         68,   6.80000000000000e-01,   6.29449112358644e-02,   3.34575684389564e-02,    9.64024796748207e-02
         69,   6.90000000000000e-01,   6.45608777921308e-02,   3.33025584539358e-02,    9.78634362460667e-02
         70,   7.00000000000000e-01,   6.60542305248807e-02,   3.31620288446802e-02,    9.92162593695609e-02
         71,   7.10000000000000e-01,   6.74167498254163e-02,   3.30466240322583e-02,    1.00463373857675e-01
         72,   7.20000000000000e-01,   6.86408490492903e-02,   3.29666230827388e-02,    1.01607472132029e-01
         73,   7.30000000000000e-01,   6.97195458409653e-02,   3.29317591875662e-02,    1.02651305028532e-01
         74,   7.40000000000000e-01,   7.06465589766264e-02,   3.29511007650645e-02,    1.03597659741691e-01
         75,   7.50000000000000e-01,   7.14164610768848e-02,   3.30329319945139e-02,    1.04449393071399e-01
         76,   7.60000000000000e-01,   7.20248815107443e-02,   3.31846965489574e-02,    1.05209578059702e-01
         77,   7.70000000000000e-01,   7.24686297072079e-02,   3.34128637785870e-02,    1.05881493485795e-01
         78,   7.80000000000000e-01,   7.27457590386188e-02,   3.37228226447873e-02,    1.06468581683406e-01
         79,   7.90000000000000e-01,   7.28557361785808e-02,   3.41186847127495e-02,    1.06974420891330e-01
         80,   8.00000000000000e-01,   7.27995909275953e-02,   3.46031784161011e-02,    1.07402769343696e-01
         81,   8.10000000000000e-01,   7.25799490262836e-02,   3.51775849609371e-02,    1.07757533987221e-01
         82,   8.20000000000001e-01,   7.22011142995403e-02,   3.58416776377527e-02,    1.08042791937293e-01
         83,   8.30000000000001e-01,   7.16691011610419e-02,   3.65936980377493e-02,    1.08262799198791e-01
         84,   8.40000000000001e-01,   7.09915368210944e-02,   3.74304371484138e-02,    1.08421973969508e-01
         85,   8.50000000000001e-01,   7.01775960966640e-02,   3.83472825111906e-02,    1.08524878607855e-01
         86,   8.60000000000001e-01,   6.92379440318232e-02,   3.93383390548105e-02,    1.08576283086634e-01
         87,   8.70000000000001e-01,   6.81846465781020e-02,   4.03965691655977e-02,    1.08581215743700e-01
         88,   8.80000000000001e-01,   6.70310873451121e-02,   4.15139342619190e-02,    1.08545021607031e-01
         89,   8.90000000000001e-01,   6.57918094270581e-02,   4.26815475599472e-02,    1.08473356987005e-01
         90,   9.00000000000001e-01,   6.44823608964368e-02,   4.38897768371677e-02,    1.08372137733605e-01
         91,   9.10000000000001e-01,   6.31192906485383e-02,   4.51281997109945e-02,    1.08247490359533e-01
         92,   9.20000000000001e-01,   6.17201513812841e-02,   4.63856400722430e-02,    1.08105791453527e-01
         93,   9.30000000000001e-01,   6.03034723562432e-02,   4.76501991472838e-02,    1.07953671503527e-01
         94,   9.40000000000001e-01,   5.88887751813718e-02,   4.89092594408142e-02,    1.07798034622186e-01
         95,   9.50000000000001e-01,   5.74964989208293e-02,   5.01495290116947e-02,    1.07646027932524e-01
         96,   9.60000000000001e-01,   5.61478714630049e-02,   5.13570693013457e-02,    1.07504940764351e-01
         97,   9.70000000000001e-01,   5.48648293366387e-02,   5.25172981414706e-02,    1.07382127478109e-01
         98,   9.80000000000001e-01,   5.36698931261309e-02,   5.36150968981015e-02,    1.07284990024232e-01
         99,   9.90000000000001e-01,   5.25859970695651e-02,   5.46349245673616e-02,    1.07220921636927e-01
        100,   1.00000000000000e+00,   5.16362572541866e-02,   5.55610113068375e-02,    1.07197268561024e-01
        101,   1.01000000000000e+00,   5.08441909238763e-02,   5.63520603260837e-02,    1.07196251249960e-01
        102,   1.02000000000000e+00,   5.02335405735903e-02,   5.69617962426617e-02,    1.07195336816252e-01
        103,   1.03000000000000e+00,   4.98267788700633e-02,   5.73676450203949e-02,    1.07194423890458e-01
        104,   1.04000000000000e+00,   4.96437815524811e-02,   5.75498703098298e-02,    1.07193651862311e-01
        105,   1.05000000000000e+00,   4.97011642008640e-02,   5.74917662067625e-02,    1.07192930407627e-01
        106,   1.06000000000000e+00,   5.00117037219151e-02,   5.71806729025595e-02,    1.07192376624475e-01
        107,   1.07000000000000e+00,   5.05838145071626e-02,   5.66081518682614e-02,    1.07191966375424e-01
        108,   1.08000000000000e+00,   5.14212142352837e-02,   5.57705796106713e-02,    1.07191793845955e-01
        109,   1.09000000000000e+00,   5.25227234282270e-02,   5.46690663433412e-02,    1.07191789771568e-01
        110,   1.10000000000000e+00,   5.38820608140467e-02,   5.33099181086543e-02,    1.07191978922701e-01
        111,   1.11000000000000e+00,   5.54878535773644e-02,   5.17044592639283e-02,    1.07192312841293e-01
        112,   1.12000000000000e+00,   5.73239209691818e-02,   4.98688875554492e-02,    1.07192808524631e-01
        113,   1.13000000000000e+00,   5.93696940484245e-02,   4.78237523624555e-02,    1.07193446410880e-01
        114,   1.14000000000000e+00,   6.16008913702213e-02,   4.55933531977772e-02,    1.07194244567999e-01
        115,   1.15000000000000e+00,   6.39902918227619e-02,   4.32048309148799e-02,    1.07195122737642e-01
        116,   1.16000000000000e+00,   6.65083697338256e-02,   4.06876795709083e-02,    1.07196049304734e-01
        117,   1.17000000000000e+00,   6.91240029544548e-02,   3.80729732276972e-02,    1.07196976182152e-01
        118,   1.18000000000000e+00,   7.18052464480894e-02,   3.53926397223237e-02,    1.07197886170413e-01
        119,   1.19000000000000e+00,   7.45200235781390e-02,   3.26787491030741e-02,    1.07198772681213e-01
        120,   1.20000000000000e+00,   7.72368097365742e-02,   2.99628128997425e-02,    1.07199622636317e-01
        121,   1.21000000000000e+00,   7.99251809543329e-02,   2.72752243154710e-02,    1.07200405269804e-01
        122,   1.22000000000000e+00,   8.25561730172533e-02,   2.46449353903531e-02,    1.07201108407606e-01
        123,   1.23000000000000e+00,   8.51026626931287e-02,   2.20990665870177e-02,    1.07201729280146e-01
        124,   1.24000000000000e+00,   8.75397112390009e-02,   1.96625561810115e-02,    1.07202267420012e-01
        125,   1.25000000000000e+00,   8.98447804446444e-02,   1.73579507200109e-02,    1.07202731164655e-01
        126,   1.26000000000000e+00,   9.19979529793070e-02,   1.52051748383940e-02,    1.07203127817701e-01
        127,   1.27000000000000e+00,   9.39820641703899e-02,   1.32213907891168e-02,    1.07203454959507e-01
        128,   1.28000000000000e+00,   9.57826873304037e-02,   1.14210294657243e-02,    1.07203716796128e-01
        129,   1.29000000000000e+00,   9.73881186614258e-02,   9.81580798102977e-03,    1.07203926642456e-01
        130,   1.30000000000000e+00,   9.87892753238961e-02,   8.41481823144396e-03,    1.07204093555340e-01
        131,   1.31000000000000e+00,   9.99794723082888e-02,   7.22475881741099e-03,    1.07204231125700e-01
        132,   1.32000000000000e+00,   1.00954209993934e-01,   6.25013453393740e-03,    1.07204344527871e-01
        133,   1.33000000000000e+00,   1.01710865090267e-01,   5.49356988266434e-03,    1.07204434972931e-01
        134,   1.34000000000000e+00,   1.02248300736402e-01,   4.95620437696848e-03,    1.07204505113370e-01
        135,   1.35000000000000e+00,   1.02566586579088e-01,   4.63797320612097e-03,    1.07204559785209e-01
        136,   1.36000000000000e+00,   1.02666710313402e-01,   4.53789273437433e-03,    1.07204603047776e-01
        137,   1.37000000000000e+00,   1.02550264246423e-01,   4.65437700521463e-03,    1.07204641251638e-01
        138,   1.38000000000000e+00,   1.02219260171558e-01,   4.98541569253882e-03,    1.07204675864097e-01
        139,   1.39000000000000e+00,   1.01675954696977e-01,   5.52875162304579e-03,    1.07204706320023e-01
        140,   1.40000000000000e+00,   1.00922683208137e-01,   6.28204808648028e-03,    1.07204731294618e-01
        141,   1.41000000000000e+00,   9.99618221701473e-02,   7.24293039766548e-03,    1.07204752567813e-01
        142,   1.42000000000000e+00,   9.87957542994630e-02,   8.40901444923747e-03,    1.07204768748701e-01
        143,   1.43000000000000e+00,   9.74268563497720e-02,   9.77792384659652e-03,    1.07204780196369e-01
        144,   1.44000000000000e+00,   9.58576119719340e-02,   1.13471710385150e-02,    1.07204783010449e-01
        145,   1.45000000000000e+00,   9.40907112328167e-02,   1.31140616666134e-02,    1.07204772899430e-01
        146,   1.46000000000000e+00,   9.21291662981254e-02,   1.50755777378352e-02,    1.07204744035961e-01
        147,   1.47000000000000e+00,   8.99765620411171e-02,   1.72281287393293e-02,    1.07204690780446e-01
        148,   1.48000000000000e+00,   8.76373255043199e-02,   1.95672782840035e-02,    1.07204603788323e-01
        149,   1.49000000000000e+00,   8.51170516720763e-02,   2.20874252587492e-02,    1.07204476930825e-01
        150,   1.50000000000000e+00,   8.24229578534907e-02,   2.47813367429744e-02,    1.07204294596465e-01
        151,   1.51000000000000e+00,   7.95643170662742e-02,   2.76397209185337e-02,    1.07204037984808e-01
        152,   1.52000000000000e+00,   7.65528995740613e-02,   3.06507802721094e-02,    1.07203679846171e-01
        153,   1.53000000000000e+00,   7.34034613395934e-02,   3.37997409868947e-02,    1.07203202326488e-01
        154,   1.54000000000000e+00,   7.01341114147063e-02,   3.70684647540782e-02,    1.07202576168784e-01
        155,   1.55000000000000e+00,   6.67666194788828e-02,   4.04351551925474e-02,    1.07201774671430e-01
        156,   1.56000000000000e+00,   6.33267098340424e-02,   4.38740541877346e-02,    1.07200764021777e-01
        157,   1.57000000000000e+00,   5.98441445285471e-02,   4.73553622999875e-02,    1.07199506828535e-01
        158,   1.58000000000000e+00,   5.63526462464081e-02,   5.08453084527380e-02,    1.07197954699146e-01
        159,   1.59000000000000e+00,   5.28897149956316e-02,   5.43063697569622e-02,    1.07196084752594e-01
        160,   1.60000000000000e+00,   4.94962089502343e-02,   5.76976668220986e-02,    1.07193875772333e-01
        161,   1.61000000000000e+00,   4.62157713038050e-02,   6.09755671698909e-02,    1.07191338473696e-01
        162,   1.62000000000000e+00,   4.30940872843036e-02,   6.40944008311877e-02,    1.07188488115491e-01
        163,   1.63000000000000e+00,   4.01777726158297e-02,   6.70075881759622e-02,    1.07185360791792e-01
        164,   1.64000000000000e+00,   3.75129653954732e-02,   6.96690612413184e-02,    1.07182026636792e-01
        165,   1.65000000000000e+00,   3.51436766092086e-02,   7.20349588654516e-02,    1.07178635474660e-01
        166,   1.66000000000000e+00,   3.31098331075608e-02,   7.40655079697655e-02,    1.07175341077326e-01
        167,   1.67000000000000e+00,   3.14451890184888e-02,   7.57271672792859e-02,    1.07172356297775e-01
        168,   1.68000000000000e+00,   3.01752220942830e-02,   7.69946461671555e-02,    1.07169868261438e-01
        169,   1.69000000000000e+00,   2.93150221124580e-02,   7.78529986922658e-02,    1.07168020804724e-01
        170,   1.70000000000000e+00,   2.88675136150022e-02,   7.82994146747249e-02,    1.07166928289727e-01
        171,   1.71000000000000e+00,   2.88223832810116e-02,   7.83443142803447e-02,    1.07166697561356e-01
        172,   1.72000000000000e+00,   2.91559050301575e-02,   7.80114223067788e-02,    1.07167327336936e-01
        173,   1.73000000000000e+00,   2.98317962557740e-02,   7.73369416584373e-02,    1.07168737914211e-01
        174,   1.74000000000000e+00,   3.08029010696165e-02,   7.63678420063154e-02,    1.07170743075932e-01
        175,   1.75000000000000e+00,   3.20134617314538e-02,   7.51596431875498e-02,    1.07173104919004e-01
        176,   1.76000000000000e+00,   3.34020058515054e-02,   7.37736131524236e-02,    1.07175619003929e-01
        177,   1.77000000000000e+00,   3.49045861550320e-02,   7.22735630898112e-02,    1.07178149244843e-01
        178,   1.78000000000000e+00,   3.64579352706715e-02,   7.07226152507729e-02,    1.07180550521444e-01
        179,   1.79000000000000e+00,   3.80023283444993e-02,   6.91804060996710e-02,    1.07182734444170e-01
        180,   1.80000000000000e+00,   3.94839017429128e-02,   6.77007339150476e-02,    1.07184635657960e-01
        181,   1.81000000000000e+00,   4.08563491886518e-02,   6.63298676297152e-02,    1.07186216818367e-01
        182,   1.82000000000000e+00,   4.20821615428891e-02,   6.51053309061355e-02,    1.07187492449025e-01
        183,   1.83000000000000e+00,   4.31333696323695e-02,   6.40551373954724e-02,    1.07188507027842e-01
        184,   1.84000000000000e+00,   4.39917954453251e-02,   6.31974953048637e-02,    1.07189290750189e-01
        185,   1.85000000000000e+00,   4.46489428119727e-02,   6.25409406916620e-02,    1.07189883503635e-01
        186,   1.86000000000000e+00,   4.51054492452608e-02,   6.20848642127616e-02,    1.07190313458022e-01
        187,   1.87000000000000e+00,   4.53701535495462e-02,   6.18204590361075e-02,    1.07190612585654e-01
        188,   1.88000000000000e+00,   4.54589365413574e-02,   6.17318750434619e-02,    1.07190811584819e-01
        189,   1.89000000000000e+00,   4.53932477327992e-02,   6.17976959983502e-02,    1.07190943731149e-01
        190,   1.90000000000000e+00,   4.51983924566208e-02,   6.19926404411436e-02,    1.07191032897764e-01
        191,   1.91000000000000e+00,   4.49017434545585e-02,   6.22893534345196e-02,    1.07191096889078e-01
        192,   1.92000000000000e+00,   4.45308465728277e-02,   6.26603005050186e-02,    1.07191147077846e-01
        193,   1.93000000000000e+00,   4.41115953417472e-02,   6.30796012687825e-02,    1.07191196610530e-01
        194,   1.94000000000000e+00,   4.36666559146717e-02,   6.35246111181197e-02,    1.07191267032791e-01
        195,   1.95000000000000e+00,   4.32140873014593e-02,   6.39772948291790e-02,    1.07191382130638e-01
        196,   1.96000000000000e+00,   4.27662924661211e-02,   6.44252486847873e-02,    1.07191541150908e-01
        197,   1.97000000000000e+00,   4.23293699745657e-02,   6.48623669749923e-02,    1.07191736949558e-01
        198,   1.98000000000000e+00,   4.19027363126400e-02,   6.52892133339180e-02,    1.07191949646558e-01
        199,   1.99000000000000e+00,   4.14791819149961e-02,   6.57129832465403e-02,    1.07192165161536e-01
        200,   2.00000000000000e+00,   4.10454396442622e-02,   6.61469302528958e-02,    1.07192369897158e-01
