phi_1,phi_2,phi_3,phi_4,pressure_1,pressure_2,pressure_3,pressure_4,saturation_1,saturation_2,saturation_3,saturation_4,solid_pressure,Points:0,Points:1,Points:2,
0.059316,-3.2,9.6,3.2,3.2003,6.4,9.6,3.2,0.059316,0.18981,0.25931,0.49156,5.467,-0.7,0.5,0,1.00E-014
0.059316,-3.2,9.6,3.2,3.2003,6.4,9.6,3.2,0.059316,0.18981,0.25931,0.49156,5.467,-0.7,0.4,0,1.00E-014
0.058048,-3.3,9.9,3.3,3.3003,6.6,9.9,3.3,0.058048,0.1895,0.25804,0.49441,5.6284,-0.8,0.5,0,1.00E-014
0.058048,-3.3,9.9,3.3,3.3003,6.6,9.9,3.3,0.058048,0.1895,0.25804,0.49441,5.6284,-0.8,0.4,0,1.00E-014
0.056781,-3.4,10.2,3.4,3.4003,6.8,10.2,3.4,0.056781,0.18918,0.25678,0.49726,5.7893,-0.9,0.5,0,1.00E-014
0.056781,-3.4,10.2,3.4,3.4003,6.8,10.2,3.4,0.056781,0.18918,0.25678,0.49726,5.7893,-0.9,0.4,0,1.00E-014
0.055514,-3.5,10.5,3.5,3.5004,7,10.5,3.5,0.055514,0.18886,0.25551,0.50012,5.9496,-1,0.5,0,1.00E-014
0.055514,-3.5,10.5,3.5,3.5004,7,10.5,3.5,0.055514,0.18886,0.25551,0.50012,5.9496,-1,0.4,0,1.00E-014
0.054247,-3.6,10.8,3.6,3.6004,7.2,10.8,3.6,0.054247,0.18854,0.25424,0.50297,6.1093,-1.1,0.5,0,1.00E-014
0.054247,-3.6,10.8,3.6,3.6004,7.2,10.8,3.6,0.054247,0.18854,0.25424,0.50297,6.1093,-1.1,0.4,0,1.00E-014
0.052981,-3.7,11.1,3.7,3.7004,7.4,11.1,3.7,0.052981,0.18822,0.25298,0.50582,6.2685,-1.2,0.5,0,1.00E-014
0.052981,-3.7,11.1,3.7,3.7004,7.4,11.1,3.7,0.052981,0.18822,0.25298,0.50582,6.2685,-1.2,0.4,0,1.00E-014
0.051715,-3.8,11.4,3.8,3.8004,7.6,11.4,3.8,0.051715,0.18791,0.25171,0.50867,6.4271,-1.3,0.5,0,1.00E-014
0.051715,-3.8,11.4,3.8,3.8004,7.6,11.4,3.8,0.051715,0.18791,0.25171,0.50867,6.4271,-1.3,0.4,0,1.00E-014
0.050449,-3.9,11.7,3.9,3.9004,7.8,11.7,3.9,0.050449,0.18759,0.25044,0.51152,6.5851,-1.4,0.5,0,1.00E-014
0.050449,-3.9,11.7,3.9,3.9004,7.8,11.7,3.9,0.050449,0.18759,0.25044,0.51152,6.5851,-1.4,0.4,0,1.00E-014
0.049184,-4,12,4,4.0004,8,12,4,0.049184,0.18727,0.24918,0.51437,6.7425,-1.5,0.5,0,1.00E-014
