  #timestep,                   time,        internal_energy,         kinetic_energy,            total_energy
         52,   5.20000000000000e-01,   2.88930298015796e-02,   2.93313301777239e-02,    5.82243599793035e-02
         53,   5.30000000000000e-01,   3.10034790956294e-02,   3.03002801627498e-02,    6.13037592583792e-02
         54,   5.40000000000000e-01,   3.31737346668502e-02,   3.11488714287542e-02,    6.43226060956044e-02
         55,   5.50000000000000e-01,   3.53920159398275e-02,   3.18780925057829e-02,    6.72701084456104e-02
         56,   5.60000000000000e-01,   3.76459760739437e-02,   3.24911564458163e-02,    7.01371325197600e-02
         57,   5.70000000000000e-01,   3.99228748509676e-02,   3.29925373484393e-02,    7.29154121994068e-02
         58,   5.80000000000000e-01,   4.22098242621050e-02,   3.33883875134799e-02,    7.55982117755849e-02
         59,   5.90000000000000e-01,   4.44940079010135e-02,   3.36857007977563e-02,    7.81797086987698e-02
         60,   6.00000000000000e-01,   4.67627697703518e-02,   3.38926245994390e-02,    8.06553943697908e-02
         61,   6.10000000000000e-01,   4.90036913873324e-02,   3.40178913617889e-02,    8.30215827491212e-02
         62,   6.20000000000000e-01,   5.12046831905686e-02,   3.40710048956659e-02,    8.52756880862346e-02
         63,   6.30000000000000e-01,   5.33540156008580e-02,   3.40618573493206e-02,    8.74158729501786e-02
         64,   6.40000000000000e-01,   5.54403878251616e-02,   3.40009181820837e-02,    8.94413060072453e-02
         65,   6.50000000000000e-01,   5.74529733497446e-02,   3.38989127019776e-02,    9.13518860517222e-02
         66,   6.60000000000000e-01,   5.93813109886108e-02,   3.37669138793066e-02,    9.31482248679174e-02
         67,   6.70000000000000e-01,   6.12152368532400e-02,   3.36160607423195e-02,    9.48312975955596e-02
         68,   6.80000000000000e-01,   6.29449112358652e-02,   3.34575684389587e-02,    9.64024796748239e-02
         69,   6.90000000000000e-01,   6.45608777921315e-02,   3.33025584539362e-02,    9.78634362460677e-02
         70,   7.00000000000000e-01,   6.60542305248818e-02,   3.31620288446808e-02,    9.92162593695626e-02
         71,   7.10000000000000e-01,   6.74167498254171e-02,   3.30466240322597e-02,    1.00463373857677e-01
         72,   7.20000000000000e-01,   6.86408490492913e-02,   3.29666230827374e-02,    1.01607472132029e-01
         73,   7.30000000000000e-01,   6.97195458409660e-02,   3.29317591875672e-02,    1.02651305028533e-01
         74,   7.40000000000000e-01,   7.06465589766268e-02,   3.29511007650616e-02,    1.03597659741688e-01
         75,   7.50000000000000e-01,   7.14164610768854e-02,   3.30329319945152e-02,    1.04449393071401e-01
         76,   7.60000000000000e-01,   7.20248815107443e-02,   3.31846965489532e-02,    1.05209578059698e-01
         77,   7.70000000000000e-01,   7.24686297072070e-02,   3.34128637785891e-02,    1.05881493485796e-01
         78,   7.80000000000000e-01,   7.27457590386177e-02,   3.37228226447834e-02,    1.06468581683401e-01
         79,   7.90000000000000e-01,   7.28557361785794e-02,   3.41186847127532e-02,    1.06974420891333e-01
         80,   8.00000000000000e-01,   7.27995909275931e-02,   3.46031784160966e-02,    1.07402769343690e-01
         81,   8.10000000000000e-01,   7.25799490262813e-02,   3.51775849609416e-02,    1.07757533987223e-01
         82,   8.20000000000001e-01,   7.22011142995371e-02,   3.58416776377467e-02,    1.08042791937284e-01
         83,   8.30000000000001e-01,   7.16691011610382e-02,   3.65936980377563e-02,    1.08262799198795e-01
         84,   8.40000000000001e-01,   7.09915368210902e-02,   3.74304371484062e-02,    1.08421973969496e-01
         85,   8.50000000000001e-01,   7.01775960966582e-02,   3.83472825112018e-02,    1.08524878607860e-01
         86,   8.60000000000001e-01,   6.92379440318177e-02,   3.93383390548014e-02,    1.08576283086619e-01
         87,   8.70000000000001e-01,   6.81846465780966e-02,   4.03965691656115e-02,    1.08581215743708e-01
         88,   8.80000000000001e-01,   6.70310873451060e-02,   4.15139342619073e-02,    1.08545021607013e-01
         89,   8.90000000000001e-01,   6.57918094270512e-02,   4.26815475599653e-02,    1.08473356987017e-01
         90,   9.00000000000001e-01,   6.44823608964300e-02,   4.38897768371539e-02,    1.08372137733584e-01
         91,   9.10000000000001e-01,   6.31192906485308e-02,   4.51281997110155e-02,    1.08247490359546e-01
         92,   9.20000000000001e-01,   6.17201513812762e-02,   4.63856400722296e-02,    1.08105791453506e-01
         93,   9.30000000000001e-01,   6.03034723562351e-02,   4.76501991473063e-02,    1.07953671503541e-01
         94,   9.40000000000001e-01,   5.88887751813636e-02,   4.89092594408007e-02,    1.07798034622164e-01
         95,   9.50000000000001e-01,   5.74964989208203e-02,   5.01495290117179e-02,    1.07646027932538e-01
         96,   9.60000000000001e-01,   5.61478714629959e-02,   5.13570693013339e-02,    1.07504940764330e-01
         97,   9.70000000000001e-01,   5.48648293366300e-02,   5.25172981414919e-02,    1.07382127478122e-01
         98,   9.80000000000001e-01,   5.36698931261220e-02,   5.36150968980916e-02,    1.07284990024214e-01
         99,   9.90000000000001e-01,   5.25859970695563e-02,   5.46349245673809e-02,    1.07220921636937e-01
        100,   1.00000000000000e+00,   5.16362572541782e-02,   5.55610113068304e-02,    1.07197268561009e-01
        101,   1.01000000000000e+00,   5.08441909238678e-02,   5.63520603260974e-02,    1.07196251249965e-01
        102,   1.02000000000000e+00,   5.02335405735827e-02,   5.69617962426612e-02,    1.07195336816244e-01
        103,   1.03000000000000e+00,   4.98267788700569e-02,   5.73676450203957e-02,    1.07194423890453e-01
        104,   1.04000000000000e+00,   4.96437815524750e-02,   5.75498703098385e-02,    1.07193651862313e-01
        105,   1.05000000000000e+00,   4.97011642008584e-02,   5.74917662067531e-02,    1.07192930407612e-01
        106,   1.06000000000000e+00,   5.00117037219104e-02,   5.71806729025758e-02,    1.07192376624486e-01
        107,   1.07000000000000e+00,   5.05838145071590e-02,   5.66081518682422e-02,    1.07191966375401e-01
        108,   1.08000000000000e+00,   5.14212142352804e-02,   5.57705796106925e-02,    1.07191793845973e-01
        109,   1.09000000000000e+00,   5.25227234282249e-02,   5.46690663433129e-02,    1.07191789771538e-01
        110,   1.10000000000000e+00,   5.38820608140455e-02,   5.33099181086813e-02,    1.07191978922727e-01
        111,   1.11000000000000e+00,   5.54878535773634e-02,   5.17044592638913e-02,    1.07192312841255e-01
        112,   1.12000000000000e+00,   5.73239209691818e-02,   4.98688875554791e-02,    1.07192808524661e-01
        113,   1.13000000000000e+00,   5.93696940484251e-02,   4.78237523624117e-02,    1.07193446410837e-01
        114,   1.14000000000000e+00,   6.16008913702221e-02,   4.55933531978116e-02,    1.07194244568034e-01
        115,   1.15000000000000e+00,   6.39902918227635e-02,   4.32048309148350e-02,    1.07195122737598e-01
        116,   1.16000000000000e+00,   6.65083697338273e-02,   4.06876795709409e-02,    1.07196049304768e-01
        117,   1.17000000000000e+00,   6.91240029544566e-02,   3.80729732276555e-02,    1.07196976182112e-01
        118,   1.18000000000000e+00,   7.18052464480915e-02,   3.53926397223499e-02,    1.07197886170441e-01
        119,   1.19000000000000e+00,   7.45200235781409e-02,   3.26787491030349e-02,    1.07198772681176e-01
        120,   1.20000000000000e+00,   7.72368097365762e-02,   2.99628128997671e-02,    1.07199622636343e-01
        121,   1.21000000000000e+00,   7.99251809543349e-02,   2.72752243154371e-02,    1.07200405269772e-01
        122,   1.22000000000000e+00,   8.25561730172552e-02,   2.46449353903725e-02,    1.07201108407628e-01
        123,   1.23000000000000e+00,   8.51026626931303e-02,   2.20990665869887e-02,    1.07201729280119e-01
        124,   1.24000000000000e+00,   8.75397112390021e-02,   1.96625561810261e-02,    1.07202267420028e-01
        125,   1.25000000000000e+00,   8.98447804446457e-02,   1.73579507199883e-02,    1.07202731164634e-01
        126,   1.26000000000000e+00,   9.19979529793075e-02,   1.52051748384034e-02,    1.07203127817711e-01
        127,   1.27000000000000e+00,   9.39820641703908e-02,   1.32213907891003e-02,    1.07203454959491e-01
        128,   1.28000000000000e+00,   9.57826873304042e-02,   1.14210294657281e-02,    1.07203716796132e-01
        129,   1.29000000000000e+00,   9.73881186614262e-02,   9.81580798101686e-03,    1.07203926642443e-01
        130,   1.30000000000000e+00,   9.87892753238961e-02,   8.41481823144442e-03,    1.07204093555340e-01
        131,   1.31000000000000e+00,   9.99794723082874e-02,   7.22475881740253e-03,    1.07204231125690e-01
        132,   1.32000000000000e+00,   1.00954209993932e-01,   6.25013453393533e-03,    1.07204344527867e-01
        133,   1.33000000000000e+00,   1.01710865090265e-01,   5.49356988265771e-03,    1.07204434972922e-01
        134,   1.34000000000000e+00,   1.02248300736400e-01,   4.95620437696643e-03,    1.07204505113366e-01
        135,   1.35000000000000e+00,   1.02566586579084e-01,   4.63797320611635e-03,    1.07204559785200e-01
        136,   1.36000000000000e+00,   1.02666710313396e-01,   4.53789273437329e-03,    1.07204603047770e-01
        137,   1.37000000000000e+00,   1.02550264246418e-01,   4.65437700521171e-03,    1.07204641251630e-01
