  #timestep,                   time,        internal_energy,         kinetic_energy,            total_energy
         22,   2.20000000000000e-01,   6.20130716349703e-04,   2.42537150878707e-03,    3.04550222513677e-03
         23,   2.30000000000000e-01,   7.71096537195148e-04,   2.81964592970129e-03,    3.59074246689644e-03
         24,   2.40000000000000e-01,   9.49447395442979e-04,   3.25156078514707e-03,    4.20100818059005e-03
         25,   2.50000000000000e-01,   1.15849734889576e-03,   3.72182446884073e-03,    4.88032181773649e-03
         26,   2.60000000000000e-01,   1.40160900766039e-03,   4.23099376195406e-03,    5.63260276961445e-03
         27,   2.70000000000000e-01,   1.68212670337681e-03,   4.77948521341164e-03,    6.46161191678844e-03
         28,   2.80000000000000e-01,   2.00336978265834e-03,   5.36755312068555e-03,    7.37092290334389e-03
         29,   2.90000000000000e-01,   2.36859616933532e-03,   5.99527698961498e-03,    8.36387315895030e-03
         30,   3.00000000000000e-01,   2.78096263562405e-03,   6.66254953804813e-03,    9.44351217367219e-03
         31,   3.10000000000000e-01,   3.24352993943523e-03,   7.36909075774024e-03,    1.06126206971755e-02
         32,   3.20000000000000e-01,   3.75925741909824e-03,   8.11445808408897e-03,    1.18737155031872e-02
         33,   3.30000000000000e-01,   4.33096260496406e-03,   8.89807924514970e-03,    1.32290418501138e-02
         34,   3.40000000000000e-01,   4.96131475298119e-03,   9.71928268324774e-03,    1.46805974362289e-02
         35,   3.50000000000000e-01,   5.65286454995475e-03,   1.05773051421403e-02,    1.62301696920951e-02
         36,   3.60000000000000e-01,   6.40805250607972e-03,   1.14712793574305e-02,    1.78793318635103e-02
         37,   3.70000000000000e-01,   7.22922705895130e-03,   1.24002358786458e-02,    1.96294629375971e-02
         38,   3.80000000000000e-01,   8.11866001846328e-03,   1.33631038781820e-02,    2.14817638966453e-02
         39,   3.90000000000000e-01,   9.07855038742134e-03,   1.43587136534362e-02,    2.34372640408576e-02
         40,   4.00000000000000e-01,   1.01110916420748e-02,   1.53857797327384e-02,    2.54968713748133e-02
         41,   4.10000000000000e-01,   1.12185582900897e-02,   1.64428836090364e-02,    2.76614418991261e-02
         42,   4.20000000000000e-01,   1.24032893941618e-02,   1.75284709673653e-02,    2.99317603615271e-02
         43,   4.30000000000000e-01,   1.36675695271236e-02,   1.86408748511265e-02,    3.23084443782501e-02
         44,   4.40000000000000e-01,   1.50134747093169e-02,   1.97783476758713e-02,    3.47918223851882e-02
         45,   4.50000000000000e-01,   1.64428058067383e-02,   2.09391279567106e-02,    3.73819337634488e-02
         46,   4.60000000000000e-01,   1.79572004114971e-02,   2.21215094905704e-02,    4.00787099020675e-02
         47,   4.70000000000000e-01,   1.95582505459177e-02,   2.33238899027856e-02,    4.28821404487033e-02
         48,   4.80000000000000e-01,   2.12474662518041e-02,   2.45448029813407e-02,    4.57922692331449e-02
         49,   4.90000000000000e-01,   2.30261770761120e-02,   2.57829561679601e-02,    4.88091332440721e-02
         50,   5.00000000000000e-01,   2.48954576488304e-02,   2.70372748392425e-02,    5.19327324880729e-02
         51,   5.10000000000000e-01,   2.68535269024530e-02,   2.82425812423854e-02,    5.50961081448384e-02
         52,   5.20000000000000e-01,   2.88930376010496e-02,   2.93313349589539e-02,    5.82243725600035e-02
         53,   5.30000000000000e-01,   3.10034874622404e-02,   3.03002849855712e-02,    6.13037724478116e-02
         54,   5.40000000000000e-01,   3.31737436077477e-02,   3.11488762609296e-02,    6.43226198686773e-02
         55,   5.50000000000000e-01,   3.53920254579302e-02,   3.18780973162211e-02,    6.72701227741513e-02
         56,   5.60000000000000e-01,   3.76459861666016e-02,   3.24911612066053e-02,    7.01371473732069e-02
         57,   5.70000000000000e-01,   3.99228855115804e-02,   3.29925420342873e-02,    7.29154275458677e-02
         58,   5.80000000000000e-01,   4.22098354800679e-02,   3.33883921025822e-02,    7.55982275826501e-02
         59,   5.90000000000000e-01,   4.44940196615088e-02,   3.36857052709228e-02,    7.81797249324315e-02
         60,   6.00000000000000e-01,   4.67627820539118e-02,   3.38926289414029e-02,    8.06554109953147e-02
         61,   6.10000000000000e-01,   4.90037041725760e-02,   3.40178955594262e-02,    8.30215997320023e-02
         62,   6.20000000000000e-01,   5.12046964549084e-02,   3.40710089384516e-02,    8.52757053933600e-02
         63,   6.30000000000000e-01,   5.33540293196880e-02,   3.40618612289147e-02,    8.74158905486026e-02
         64,   6.40000000000000e-01,   5.54404019751075e-02,   3.40009218917021e-02,    8.94413238668096e-02
         65,   6.50000000000000e-01,   5.74529879074222e-02,   3.38989162367319e-02,    9.13519041441542e-02
         66,   6.60000000000000e-01,   5.93813259277279e-02,   3.37669172355807e-02,    9.31482431633086e-02
         67,   6.70000000000000e-01,   6.12152521479327e-02,   3.36160639186284e-02,    9.48313160665611e-02
         68,   6.80000000000000e-01,   6.29449268617612e-02,   3.34575714348637e-02,    9.64024982966249e-02
         69,   6.90000000000000e-01,   6.45608937265012e-02,   3.33025612715178e-02,    9.78634549980190e-02
         70,   7.00000000000000e-01,   6.60542467456758e-02,   3.31620314886891e-02,    9.92162782343649e-02
         71,   7.10000000000000e-01,   6.74167663077033e-02,   3.30466265111972e-02,    1.00463392818900e-01
         72,   7.20000000000000e-01,   6.86408657629060e-02,   3.29666254084834e-02,    1.01607491171389e-01
         73,   7.30000000000000e-01,   6.97195627517945e-02,   3.29317613769828e-02,    1.02651324128777e-01
         74,   7.40000000000000e-01,   7.06465760502390e-02,   3.29511028379332e-02,    1.03597678888172e-01
         75,   7.50000000000000e-01,   7.14164782790394e-02,   3.30329339749743e-02,    1.04449412254014e-01
         76,   7.60000000000000e-01,   7.20248988064899e-02,   3.31846984638881e-02,    1.05209597270378e-01
         77,   7.70000000000000e-01,   7.24686470597065e-02,   3.34128656597620e-02,    1.05881512719468e-01
         78,   7.80000000000000e-01,   7.27457764082082e-02,   3.37228245258848e-02,    1.06468600934093e-01
         79,   7.90000000000000e-01,   7.28557535244850e-02,   3.41186866307316e-02,    1.06974440155217e-01
         80,   8.00000000000000e-01,   7.27996082065412e-02,   3.46031804095625e-02,    1.07402788616104e-01
         81,   8.10000000000000e-01,   7.25799661921672e-02,   3.51775870704096e-02,    1.07757553262577e-01
         82,   8.20000000000001e-01,   7.22011313065407e-02,   3.58416799033611e-02,    1.08042811209902e-01
         83,   8.30000000000001e-01,   7.16691179629206e-02,   3.65937005010648e-02,    1.08262818463985e-01
         84,   8.40000000000001e-01,   7.09915533714229e-02,   3.74304398491497e-02,    1.08421993220573e-01
         85,   8.50000000000001e-01,   7.01776123498262e-02,   3.83472854898659e-02,    1.08524897839692e-01
         86,   8.60000000000001e-01,   6.92379599417416e-02,   3.93383423492608e-02,    1.08576302291002e-01
         87,   8.70000000000001e-01,   6.81846620985667e-02,   4.03965728151843e-02,    1.08581234913751e-01
         88,   8.80000000000001e-01,   6.70311024318325e-02,   4.15139383029496e-02,    1.08545040734782e-01
