# timestep time total_energy kinetic_energy internal_energy external_energy max_particle_penetration
       180 1.8000000000000013e-01 2.0374705055195967e+01 2.0144788145092704e+01 2.2991691010326312e-01 0.0000000000000000e+00 1.5668703834623571e-03
       190 1.9000000000000014e-01 2.3124880395751564e+01 2.2737328059834454e+01 3.8755233591711086e-01 0.0000000000000000e+00 1.5668703834623571e-03
       200 2.0000000000000015e-01 2.7103671127599299e+01 2.6641800179558057e+01 4.6187094804124251e-01 0.0000000000000000e+00 1.5668703834623571e-03
       210 2.1000000000000016e-01 3.0750073156129925e+01 3.0456805974411942e+01 2.9326718171798277e-01 0.0000000000000000e+00 1.5668703834623571e-03
       220 2.2000000000000017e-01 3.2744131100659381e+01 3.2536476550539739e+01 2.0765455011964548e-01 0.0000000000000000e+00 1.5668703834623571e-03
       230 2.3000000000000018e-01 3.3842972192655438e+01 3.3715421555316098e+01 1.2755063733933850e-01 0.0000000000000000e+00 1.5668703834623571e-03
       240 2.4000000000000019e-01 3.4480473630634521e+01 3.4443429210773388e+01 3.7044419861133444e-02 0.0000000000000000e+00 1.5668703834623571e-03
       250 2.5000000000000017e-01 3.4523405016859755e+01 3.4508474813270510e+01 1.4930203589248152e-02 0.0000000000000000e+00 1.5668703834623571e-03
       260 2.6000000000000018e-01 3.4583775599426787e+01 3.4561678733039514e+01 2.2096866387272974e-02 0.0000000000000000e+00 1.5668703834623571e-03
       270 2.7000000000000018e-01 3.5549854949870266e+01 3.5492476046538492e+01 5.7378903331776129e-02 0.0000000000000000e+00 1.5668703834623571e-03
       280 2.8000000000000019e-01 3.6774599847532556e+01 3.6738210749343793e+01 3.6389098188765998e-02 0.0000000000000000e+00 1.5668703834623571e-03
       290 2.9000000000000020e-01 3.7185114975208798e+01 3.7176245045825524e+01 8.8699293832710992e-03 0.0000000000000000e+00 1.5668703834623571e-03
       300 3.0000000000000021e-01 3.7095408313612033e+01 3.7087765075115279e+01 7.6432384967562422e-03 0.0000000000000000e+00 1.5668703834623571e-03
       310 3.1000000000000022e-01 3.6999511100477363e+01 3.6992246476238613e+01 7.2646242387495964e-03 0.0000000000000000e+00 1.5668703834623571e-03
       320 3.2000000000000023e-01 3.6900438092860838e+01 3.6892468488808625e+01 7.9696040522171316e-03 0.0000000000000000e+00 1.5668703834623571e-03
       330 3.3000000000000024e-01 3.6799437002431468e+01 3.6789446667934968e+01 9.9903344964984639e-03 0.0000000000000000e+00 1.5668703834623571e-03
       340 3.4000000000000025e-01 3.6695958491140203e+01 3.6682430300275840e+01 1.3528190864361384e-02 0.0000000000000000e+00 1.5668703834623571e-03
       350 3.5000000000000026e-01 3.6835274554845981e+01 3.6810406604008804e+01 2.4867950837176286e-02 0.0000000000000000e+00 1.5668703834623571e-03
       360 3.6000000000000026e-01 3.7245993272270553e+01 3.7214363983243260e+01 3.1629289027289911e-02 0.0000000000000000e+00 1.5668703834623571e-03
       370 3.7000000000000027e-01 3.7265151449856155e+01 3.7226688777059152e+01 3.8462672797004396e-02 0.0000000000000000e+00 1.5668703834623571e-03
       380 3.8000000000000028e-01 3.7073924723519958e+01 3.7019224880279936e+01 5.4699843240021334e-02 0.0000000000000000e+00 1.5668703834623571e-03
       390 3.9000000000000029e-01 3.6837852229728192e+01 3.6760719466705851e+01 7.7132763022339706e-02 0.0000000000000000e+00 1.5668703834623571e-03
       400 4.0000000000000030e-01 3.6551187779424993e+01 3.6443262306359763e+01 1.0792547306522937e-01 0.0000000000000000e+00 1.5668703834623571e-03
       410 4.1000000000000031e-01 3.6208518309452565e+01 3.6058740257121016e+01 1.4977805233155103e-01 0.0000000000000000e+00 1.5668703834623571e-03
       420 4.2000000000000032e-01 3.5805096433940143e+01 3.5599157989150271e+01 2.0593844478987516e-01 0.0000000000000000e+00 1.5668703834623571e-03
       430 4.3000000000000033e-01 3.5337163989545999e+01 3.5056982324093596e+01 2.8018166545240580e-01 0.0000000000000000e+00 1.5668703834623571e-03
