"displacement:0","displacement:1","displacement:2","nodal_GL_strains_xyz:0","nodal_GL_strains_xyz:1","nodal_GL_strains_xyz:2","nodal_GL_strains_xyz:3","nodal_GL_strains_xyz:4","nodal_GL_strains_xyz:5","nodal_cauchy_stresses_xyz:0","nodal_cauchy_stresses_xyz:1","nodal_cauchy_stresses_xyz:2","nodal_cauchy_stresses_xyz:3","nodal_cauchy_stresses_xyz:4","nodal_cauchy_stresses_xyz:5","Points:0","Points:1","Points:2"
1.3878e-17,0.8,0,1.5,1.4665e-15,-0.375,1.0138e-15,0,0,375,75,0,2.1574e-13,0,0,1.3878e-17,0.4,0,1.0e-9
-0.05,0.8,0,1.5,-3.058e-15,-0.375,2.1348e-15,0,0,375,75,0,4.8455e-13,0,0,-0.05,0.4,0,1.0e-9
-0.1,0.8,0,1.5,1.7238e-15,-0.375,-2.9943e-16,0,0,375,75,0,-2.7938e-13,0,0,-0.1,0.4,0,1.0e-9
-0.15,0.8,0,1.5,3.3087e-15,-0.375,-1.4663e-15,0,0,375,75,0,-3.0698e-13,0,0,-0.15,0.4,0,1.0e-9
-0.2,0.8,0,1.5,-3.4149e-15,-0.375,1.392e-15,0,0,375,75,0,4.4289e-13,0,0,-0.2,0.4,0,1.0e-9
-0.25,0.8,0,1.5,3.0134e-15,-0.375,3.5935e-16,0,0,375,75,0,1.1745e-13,0,0,-0.25,0.4,0,1.0e-9
-0.3,0.8,0,1.5,-2.8369e-15,-0.375,-1.1224e-15,0,0,375,75,0,-1.6138e-13,0,0,-0.3,0.4,0,1.0e-9
-0.35,0.8,0,1.5,-5.5502e-15,-0.375,9.6926e-16,0,0,375,75,0,4.8978e-14,0,0,-0.35,0.4,0,1.0e-9
-0.4,0.8,0,1.5,4.3066e-15,-0.375,-4.725e-16,0,0,375,75,0,-2.7139e-13,0,0,-0.4,0.4,0,1.0e-9
-0.45,0.8,0,1.5,1.1095e-15,-0.375,1.6819e-16,0,0,375,75,0,6.64e-14,0,0,-0.45,0.4,0,1.0e-9
-0.5,0.8,0,1.5,3.6249e-15,-0.375,-1.3485e-15,0,0,375,75,0,-7.373e-14,0,0,-0.5,0.4,0,1.0e-9
0.45,0.8,0,1.5,-3.1155e-15,-0.375,3.2297e-15,0,0,375,75,0,3.7628e-13,0,0,0.45,0.35,0,1.0e-9
0.5,0.8,0,1.5,1.9825e-15,-0.375,2.656e-16,0,0,375,75,0,8.4249e-14,0,0,0.5,0.35,0,1.0e-9
0.4,0.8,0,1.5,-2.1297e-15,-0.375,5.3611e-16,0,0,375,75,0,-2.6049e-15,0,0,0.4,0.35,0,1.0e-9
0.35,0.8,0,1.5,2.4984e-15,-0.375,-2.385e-15,0,0,375,75,0,-3.4621e-13,0,0,0.35,0.35,0,1.0e-9
0.3,0.8,0,1.5,-8.8487e-16,-0.375,3.113e-18,0,0,375,75,0,2.7143e-14,0,0,0.3,0.35,0,1.0e-9
