"displacement:0","displacement:1","displacement:2","nodal_GL_strains_xyz:0","nodal_GL_strains_xyz:1","nodal_GL_strains_xyz:2","nodal_GL_strains_xyz:3","nodal_GL_strains_xyz:4","nodal_GL_strains_xyz:5","nodal_cauchy_coupling_stresses_xyz:0","nodal_cauchy_coupling_stresses_xyz:1","nodal_cauchy_coupling_stresses_xyz:2","nodal_cauchy_coupling_stresses_xyz:3","nodal_cauchy_coupling_stresses_xyz:4","nodal_cauchy_coupling_stresses_xyz:5","nodal_cauchy_stresses_xyz:0","nodal_cauchy_stresses_xyz:1","nodal_cauchy_stresses_xyz:2","nodal_cauchy_stresses_xyz:3","nodal_cauchy_stresses_xyz:4","nodal_cauchy_stresses_xyz:5","Points:0","Points:1","Points:2",1.0e-12
-0.00090707,2.7257e-16,-8.5642e-17,-0.00022663,1.982e-17,-1.5234e-16,-1.2271e-16,-3.9689e-17,-3.3721e-17,-2.1782,-2.1782,-2.1782,-1.6457e-31,3.7791e-32,1.4621e-32,-610.41,-261.66,-261.66,-1.8886e-10,-6.1073e-11,-5.1882e-11,-1,1,-3,1.0e-12
-0.00090707,0,0,-0.00022663,-2.0683e-17,-2.9615e-16,5.2102e-17,1.4625e-16,2.6359e-16,-2.1782,-2.1782,-2.1782,3.237e-32,9.6358e-32,-1.2809e-31,-610.41,-261.66,-261.66,8.0194e-11,2.2505e-10,4.0548e-10,-1,1,-5,1.0e-12
-0.00090707,-3.8231e-17,2.0721e-16,-0.00022663,4.8755e-17,-2.3053e-16,-2.3226e-16,-8.2633e-17,1.3455e-16,-2.1782,-2.1782,-2.1782,-6.1313e-32,5.9959e-32,-8.418e-33,-610.41,-261.66,-261.66,-3.5733e-10,-1.2716e-10,2.0705e-10,-1,3,-1,1.0e-12
-0.00090707,2.4282e-16,2.1441e-16,-0.00022663,-7.9366e-17,4.5534e-17,-8.524e-17,9.6325e-17,-1.1118e-16,-2.1782,-2.1782,-2.1782,8.9915e-32,-5.8203e-32,-4.4388e-32,-610.41,-261.66,-261.66,-1.3107e-10,1.4823e-10,-1.7105e-10,-1,3,-3,1.0e-12
-0.00090707,0,0,-0.00022663,-9.4787e-17,-3.2835e-17,1.303e-16,1.4948e-16,-2.5212e-16,-2.1782,-2.1782,-2.1782,-2.885e-32,-1.1502e-31,5.5599e-32,-610.41,-261.66,-261.66,2.0047e-10,2.3002e-10,-3.8794e-10,-1,3,-5,1.0e-12
-0.00090707,0,0,-0.00022663,2.2277e-16,-6.6667e-17,2.3653e-16,-2.2065e-17,2.2332e-17,-2.1782,-2.1782,-2.1782,-1.3294e-31,9.8756e-32,3.6984e-31,-610.41,-261.66,-261.66,3.6389e-10,-3.3954e-11,3.4442e-11,-1,5,-1,1.0e-12
-0.00090707,0,0,-0.00022663,-2.7222e-18,-2.2513e-16,1.7063e-17,-4.1188e-17,5.8474e-17,-2.1782,-2.1782,-2.1782,-1.8708e-31,2.0863e-31,-3.5615e-31,-610.41,-261.66,-261.66,2.6381e-11,-6.338e-11,8.9903e-11,-1,5,-3,1.0e-12
-0.00090707,0,0,-0.00022663,-2.7012e-16,-3.8659e-16,-2.3855e-16,-5.1021e-17,1.1581e-16,-2.1782,-2.1782,-2.1782,3.0217e-31,-8.7879e-33,5.352e-31,-610.41,-261.66,-261.66,-3.669e-10,-7.8511e-11,1.7809e-10,-1,5,-5,1.0e-12
-0.0013605,0,0,-0.00022691,-1.0794e-16,-1.2118e-16,2.4821e-16,-1.1326e-16,7.0431e-17,-2.2058,-2.2058,-2.2058,1.2835e-31,6.966e-32,9.802e-32,-611.14,-261.98,-261.98,3.8197e-10,-1.7429e-10,1.084e-10,1,-5,-1,1.0e-12
-0.0013605,-1.2461e-16,1.0959e-16,-0.00022691,2.9797e-17,-6.3313e-17,-2.4808e-16,2.7515e-16,8.997e-17,-2.2058,-2.2058,-2.2058,1.0916e-31,-1.3508e-31,-8.5004e-32,-611.14,-261.98,-261.98,-3.8171e-10,4.234e-10,1.3851e-10,1,-3,-1,1.0e-12
-0.0013605,0,0,-0.00022691,-7.3861e-16,9.243e-17,1.5833e-16,9.6887e-17,4.0421e-17,-2.2058,-2.2058,-2.2058,2.4464e-31,-1.5374e-31,6.9282e-32,-611.14,-261.98,-261.98,2.4346e-10,1.4909e-10,6.2141e-11,1,-5,-3,1.0e-12
-0.0013605,-1.214e-15,3.3574e-16,-0.00022691,2.3855e-17,-3.7417e-17,-1.1763e-16,-5.3677e-17,1.3872e-16,-2.2058,-2.2058,-2.2058,-1.3171e-31,1.2766e-31,-5.4224e-32,-611.14,-261.98,-261.98,-1.8098e-10,-8.2599e-11,2.1345e-10,1,-3,-3,1.0e-12
-0.0013605,0,0,-0.00022691,1.8685e-16,1.7941e-16,1.2281e-17,1.4633e-16,-1.5784e-16,-2.2058,-2.2058,-2.2058,-7.062e-31,-6.6281e-32,-2.4048e-32,-611.14,-261.98,-261.98,1.8832e-11,2.2518e-10,-2.4284e-10,1,-5,-5,1.0e-12
-0.0013605,0,0,-0.00022691,-2.2477e-16,2.4409e-16,-2.1387e-16,-3.3035e-16,-3.2549e-16,-2.2058,-2.2058,-2.2058,2.5538e-31,8.3869e-33,3.0664e-31,-611.14,-261.98,-261.98,-3.2906e-10,-5.0835e-10,-5.0087e-10,1,-3,-5,1.0e-12
-0.0013605,4.9409e-16,-5.3226e-17,-0.00022691,-2.7606e-16,1.5166e-16,-8.7118e-17,-4.4176e-17,6.3443e-17,-2.2058,-2.2058,-2.2058,-5.4509e-32,8.2771e-32,3.0808e-32,-611.14,-261.98,-261.98,-1.3408e-10,-6.7979e-11,9.7622e-11,1,-1,-1,1.0e-12
-0.0013605,5.6838e-16,-7.3459e-16,-0.00022691,3.2699e-16,-4.3493e-17,1.0393e-16,3.55e-17,8.3762e-17,-2.2058,-2.2058,-2.2058,-8.3646e-32,-1.6991e-31,2.5794e-32,-611.14,-261.98,-261.98,1.5998e-10,5.4627e-11,1.2885e-10,1,-1,-3,1.0e-12
-0.0013605,0,0,-0.00022691,-5.8233e-17,-4.7729e-16,4.8199e-17,1.1818e-16,-3.2925e-16,-2.2058,-2.2058,-2.2058,-2.7902e-32,6.5338e-32,-1.2062e-31,-611.14,-261.98,-261.98,7.4161e-11,1.8185e-10,-5.0658e-10,1,-1,-5,1.0e-12
-0.0013605,-9.4227e-17,1.7404e-17,-0.00022691,-2.8976e-16,-1.4658e-16,-3.4529e-17,4.93e-17,-9.6172e-17,-2.2058,-2.2058,-2.2058,-1.2955e-32,-3.8059e-32,-1.6386e-32,-611.14,-261.98,-261.98,-5.3112e-11,7.5864e-11,-1.4799e-10,1,1,-1,1.0e-12
-0.0013605,-4.0945e-17,-1.7393e-16,-0.00022691,6.2584e-18,-1.4336e-16,-3.5365e-17,2.0255e-17,-4.8527e-18,-2.2058,-2.2058,-2.2058,8.3159e-32,1.9334e-31,1.1545e-32,-611.14,-261.98,-261.98,-5.4415e-11,3.1169e-11,-7.5016e-12,1,1,-3,1.0e-12
-0.0013605,0,0,-0.00022691,-6.4309e-17,-2.0445e-16,5.3341e-17,-6.4235e-17,-3.6286e-17,-2.2058,-2.2058,-2.2058,6.1213e-32,-1.5207e-31,4.6612e-32,-611.14,-261.98,-261.98,8.212e-11,-9.8846e-11,-5.5804e-11,1,1,-5,1.0e-12
-0.0013605,-7.4603e-16,1.2119e-16,-0.00022691,-1.1071e-16,9.2745e-17,4.2784e-17,3.2668e-17,6.5124e-17,-2.2058,-2.2058,-2.2058,5.8003e-32,-3.8443e-32,5.676e-32,-611.14,-261.98,-261.98,6.591e-11,5.027e-11,1.0024e-10,1,3,-1,1.0e-12
-0.0013605,5.9188e-16,-4.9805e-16,-0.00022691,8.8529e-17,9.6148e-17,-2.3098e-17,-1.3237e-16,-1.6657e-16,-2.2058,-2.2058,-2.2058,1.116e-31,4.4155e-32,-2.2546e-32,-611.14,-261.98,-261.98,-3.5506e-11,-2.037e-10,-2.5636e-10,1,3,-3,1.0e-12
-0.0013605,0,0,-0.00022691,2.0318e-17,-3.5611e-16,1.9945e-16,1.6547e-16,-6.551e-17,-2.2058,-2.2058,-2.2058,-1.6854e-31,1.0134e-32,1.1812e-32,-611.14,-261.98,-261.98,3.0694e-10,2.5463e-10,-1.0096e-10,1,3,-5,1.0e-12
-0.0013605,0,0,-0.00022691,2.9044e-16,-1.4658e-16,2.2367e-16,-5.551e-17,-6.8675e-17,-2.2058,-2.2058,-2.2058,5.9605e-32,4.2421e-33,1.2878e-31,-611.14,-261.98,-261.98,3.4431e-10,-8.5419e-11,-1.0567e-10,1,5,-1,1.0e-12
-0.0013605,0,0,-0.00022691,4.1633e-17,-4.3738e-16,3.3347e-17,7.3816e-17,1.353e-16,-2.2058,-2.2058,-2.2058,1.5648e-31,-9.6718e-32,-2.9167e-33,-611.14,-261.98,-261.98,5.1436e-11,1.1359e-10,2.0817e-10,1,5,-3,1.0e-12
-0.0013605,0,0,-0.00022691,-1.6926e-16,-3.5883e-16,-1.3199e-16,-2.0104e-16,1.9908e-16,-2.2058,-2.2058,-2.2058,-5.4944e-32,3.6954e-32,-1.3573e-31,-611.14,-261.98,-261.98,-2.0305e-10,-3.0936e-10,3.0624e-10,1,5,-5,1.0e-12
